mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
SLC12A2,ENSG00000064651,1910.55,1356.24,1770.43,3238.07,1577.98,1035.8,1584.85,552.014,3511.08,4929.63,979.659,844.364,1353.96,4579.62,2304.27,890.474,198.499
KDM1A,ENSG00000004487,3431.11,3604.56,4082.88,2743.72,8339.77,4262.11,3270.2,2494.56,2541.17,4896.79,2033.22,2026.41,1933.32,2501.96,5403.95,6787.67,1835.44
SRP14,ENSG00000140319,1722.88,1911.58,3556.68,799.08,2211.99,1013.02,1985.44,1105.23,800.601,680.314,621.997,367.746,1775.54,598.372,3699.62,2078.28,937.948
SLC15A4,ENSG00000139370,734.91,183.679,539.212,107.9,492.07,477.759,495.788,306.535,738.288,685.644,572.059,97.0091,189.351,287.669,198.287,339.022,188.189
SOGA1,ENSG00000149639,257.114,1336.02,480.452,820.443,802.807,355.285,546.669,881.87,1632,2642.17,452.163,514.201,2109.6,627.07,904.75,227.075,1455.72
NUP133,ENSG00000069248,4454.85,3857.38,5230.13,2784.72,6222.2,3653.81,8193.9,3206.61,2482.2,2983.19,2570.02,3700.43,2688.22,1628.91,5637.26,5002.64,1998.07
IRS2,ENSG00000185950,438.105,718.763,317.848,58.9013,683.466,609.273,346.474,1301.13,722.192,437.65,1606.06,133.603,314.714,386.438,245.271,122.158,1013.44
RPL4,ENSG00000174444,14434.4,12445.7,24334.3,10479.4,11452,6664.65,12772.6,8117.17,3422.74,2213.21,3560.26,2516.43,4190.1,5414.01,15971.8,4894.47,3184.1
KHSRP,ENSG00000088247,10996.9,7693.81,9579.94,12625.7,11663.3,13787.8,17686.5,15145.4,6591.62,6985.91,3827.87,6636.73,5946.49,8193.47,23586.2,16305.1,21822.8
FUBP3,ENSG00000107164,4895.82,4774.9,3956.68,2314.93,3101.18,5195.16,6219.14,7651.39,4100.05,5106.12,1928.62,2204.66,3513.29,5656.97,7954.55,5190.41,5892.4
MMP14,ENSG00000157227,1514.74,304.337,5082.59,350.693,467.63,257.674,1794.94,2891.48,719.022,217.04,836.524,253.35,705.27,1458.32,68.5091,895.793,1340.87
CLPX,ENSG00000166855,4478.25,2640.4,2804.34,3325.37,3269.63,2695.45,3061.72,2285.38,1089.07,3096.4,974.291,2532.97,2300.4,3719.97,4072.49,2581.73,2610.42
CACTIN,ENSG00000105298,484.431,460.466,881.119,567.32,1693.47,1053.7,1186.6,665.597,661.005,1057.31,650.224,398.329,953.37,538.988,1351.09,1434.19,230.956
NCL,ENSG00000115053,24586.2,31903.9,37235,19404,21398.7,31483.5,43783.7,14566.8,8887.74,11136,9122.22,6694.82,12350.9,16769,30527.5,30853.9,14890.1
UNC119,ENSG00000109103,72.4339,53.0678,188.025,174.235,179.781,568.603,227.702,201.486,44.7254,102.348,125.629,170.035,66.2829,186.254,774.027,106.738,363.452
RBM42,ENSG00000126254,1480.42,899.1,1345.61,1199.67,1522.56,1490.08,1257.37,2025.35,657.577,957.809,1109.28,495.315,872.834,629.258,1872.8,759.692,1226.81
RCC2,ENSG00000179051,5605.84,3809.36,6129.47,4865.78,4095.89,2485.97,4734.91,2518.76,2745.85,3970.72,4244,848.833,3311.5,3334.21,8496.29,2868.48,1972.47
RANBP6,ENSG00000137040,1200.32,275.883,1370.61,693.106,2058.75,578.366,785.261,1613.47,1267.53,1233.29,611.677,704.104,1810.95,337.709,840.308,1274.2,63.4137
IPO5,ENSG00000065150,6648.41,4425.22,14313.7,4137.83,3523.18,3554.89,2350.44,11493.1,12472.4,3258.71,3014.77,1086.02,8375.54,9052.78,8180.78,1064.14,8542.97
SORT1,ENSG00000134243,3807.64,414.727,758.673,992.945,11390.5,2108.05,745.813,376.907,1421.92,1855.01,387.8,2199.14,4115.65,1787.87,626.189,2891.66,1509.14
LEMD3,ENSG00000174106,1327.39,1733.03,2348.4,2567.7,2551.37,3943.89,4941.47,2520.25,2360.76,4045.15,975.284,1603.89,2243.23,4173.43,3510.52,2268.96,753.441
GLRX5,ENSG00000182512,2141.27,1562.74,982.071,199.722,1043.63,2232.72,3285.87,625.8,243.785,292.383,145.919,1202.19,688.242,337.086,201.431,464.391,954.009
RIN1,ENSG00000174791,246.82,609.231,634.929,33.7833,864.924,8.26931,701.852,971.639,902.328,78.755,956.308,8.95895,530.422,41.8789,1554.03,76.1956,177.964
PRDX5,ENSG00000126432,7473.43,11833.3,6175.14,6027.54,2679.67,6012.48,7779.84,4834.77,3599.27,4376.61,1572.29,4997.1,4261.83,3858.34,4857.12,3300.4,5921.1
NCOA2,ENSG00000140396,1471.3,768.843,750.13,528.512,1439.3,469.847,2507.99,2247.94,3555.25,4682.18,572.482,297.076,1405.59,588.416,2496.37,3573.37,2147.92
NCOA3,ENSG00000154553,239.616,635.042,111.41,619.584,812.642,143.929,2443.79,2619.32,935.507,1713.17,1428.13,269.222,1446.14,345.271,627.024,910.934,2627.63
PDLIM3,ENSG00000183495,59.6898,138.413,95.4488,43.2005,76.0695,246.186,8.64124,384.079,642.331,190.453,536.26,44.2269,536.81,149.935,301.937,112.686,2271.64
EP400,ENSG00000116062,2274.72,1078.7,1265.87,1036.15,6700.4,1351.97,2009.22,1923.27,2424.19,3695.63,1037.2,1367,1896.68,2349,2776.25,3507.57,1320.8
MSH6,ENSG00000113318,7833.5,6138.08,5528.38,5158,13714.6,3374.29,627.086,6936.61,4626.73,5636.51,2782.16,1711.82,4616.72,2752.65,5406.92,4139.15,2669.15
MSH3,ENSG00000160803,2258.92,591.704,2556.02,1061.57,3442.44,2349.65,518.026,1372.88,1740.91,1901.32,1633.4,951.409,2109.42,2346.07,1636.74,1237.05,337.642
UBQLN4,ENSG00000135018,1120.64,797.606,1903.81,648.859,1805.07,1621.24,1299.35,1122.5,1177.1,1941.83,474.919,1355.58,713.358,923.626,3613.11,1169.27,1544.57
UBQLN1,ENSG00000174705,1131.15,1021.21,1774.35,227.003,627.642,1758.28,1010.13,2547.29,1160.34,1013.53,323.887,498.88,454.782,1931.58,1211.62,191.457,1279.42
SH3PXD2B,ENSG00000107957,2260.79,1147.97,1936.78,958.938,1659.22,899.027,679.472,1280.25,339.029,672.649,784.036,200.501,566.467,1741.37,5540.47,1063.74,2555.43
SH3PXD2A,ENSG00000165832,829.001,699.241,1229.65,196.636,421.185,255.195,216.745,1441.45,70.9508,40.6272,414.376,22.8371,154.189,189.566,850.609,152.833,1561.38
TRUB1,ENSG00000135596,1094.51,512.224,1290.3,1024.12,670.447,914.25,1244.54,1900.75,798.107,1268.85,1240.57,741.482,958.025,886.588,2933.52,902.432,1118.04
MICAL1,ENSG00000133816,465.721,52.9867,977.053,57.0622,202.822,305.417,785.674,1260.55,234.159,116.645,711.385,82.5235,587.198,386.146,216.64,154.938,402.644
MICAL2,ENSG00000162300,625.186,106.419,178.409,344.801,1260.56,294.636,1166.52,926.388,2331.12,1898.02,1173.11,166.376,778.266,1186.42,198.406,415.642,57.8238
ZFPL1,ENSG00000038358,1450.79,1805.14,956.032,2354.49,2971.25,715.344,873.272,536.928,1289.22,1352.59,526.865,595.937,2356.84,1575.57,360.698,1037.97,567.267
EDC4,ENSG00000102316,2249.06,2101.93,6076,2020.33,2457.5,3440.12,3845.57,2186.26,3813.54,3954.45,2417.59,1541.2,3508.83,4706,3966.92,2012.66,2817.46
MAGED2,ENSG00000179222,3455.65,3551.7,3649.16,1793.27,5068.41,2363.07,2395.83,2720.79,1432.37,894.458,930.888,1086.17,1649.44,1832.5,4254.44,2201.63,1069.36
MAGED1,ENSG00000101132,903.615,172.9,870.697,93.8912,2103.18,326.788,614.48,147.095,1504.66,621.568,195.43,25.3309,510.688,685.163,1127.19,968.867,289.932
PFDN4,ENSG00000111802,706.716,472.16,1575.78,168.608,590.604,411.601,603.65,1023.64,183.143,79.9733,260.365,134.77,228.03,410.825,574.65,23.993,1016.43
TDP2,ENSG00000165458,907.726,904.693,498.027,263.829,465.32,84.6271,395.385,601.061,264.488,231.886,333.716,168.56,358.801,366.304,1248.56,162.543,814.915
INPPL1,ENSG00000168918,3504.54,2283.84,2395.83,1111.42,2176.81,1033.01,1327.71,1971.36,4688.23,1787.43,663.747,422.808,3908.87,2260.52,4538.91,1261.08,1722.65
INPP5D,ENSG00000086712,248.044,2.49548,61.956,98.0409,123.428,346.146,54.7762,351.202,702.354,486.703,333.068,690.214,323.81,751.328,247.374,234.114,506.689
TXLNG,ENSG00000084652,2022.49,1454.22,1779.34,293.881,564.872,526.929,1347.16,801.553,683.569,592.218,791.939,38.0913,692.975,1786.76,4336.63,556.636,2650.64
TXLNA,ENSG00000119596,6737.33,3815.43,6000.63,1925.7,2100.2,1927.08,1991.26,3804.75,1581.8,1050.5,1486.69,456.734,1223.81,2583.5,6936.52,1554.98,6579.73
YLPM1,ENSG00000173786,6137.44,5077.32,5309.1,4775.44,8229.17,18579.7,8542.46,8759.82,5025.83,15297.4,2766.77,6416.23,6620.76,8046.12,11761.2,14192.2,7436.6
CNP,ENSG00000117133,3622.44,2488.66,3740.62,2227.28,7478.43,5260.24,4182.54,1222.01,1673.51,1947.48,1791.41,1514.52,2379.98,1871.31,2753.54,2795.45,1456.03
RPF1,ENSG00000004897,625.061,580.406,1537.71,1234.34,455.616,453.64,1697.38,591.487,666.101,642.845,452.614,716.58,649.51,1643.47,600.721,733.401,100.722
CDC27,ENSG00000130559,3732.43,1707.57,3193.43,1178.07,3039.64,1050.72,2341.81,3635.37,508.758,622.233,1400.02,854.29,1078.01,3321.65,3064.16,1490.68,851.226
CAMSAP1,ENSG00000118200,367.251,1202.43,452.158,91.2581,644.123,2022.44,838.809,3045.49,1123.15,761.957,1039.05,240.641,1031.75,1935.48,3868.29,678.72,2815.92
CAMSAP2,ENSG00000163714,1295.63,1439.66,2914.2,517.828,1250.67,729.504,587.961,1472.23,1938.54,921.823,1827.6,210.577,2057.68,2196.97,4815.41,2274.43,1886.63
U2SURP,ENSG00000111786,4780.33,3757.89,6043.96,5235.95,9175.48,6248.22,10206.4,2561.89,1895.29,2804.48,2448.21,3536.3,3039.55,2540.92,7801.94,7144.11,1591.69
SRSF9,ENSG00000136450,4842.33,2264.74,3039.97,1779.33,4504.42,10223.2,3875.13,3758.95,890.008,2113.62,1728.31,2177.82,3351.89,3029.58,6126.18,4797.26,3113.41
SRSF1,ENSG00000171824,5670.93,5009.71,6920.49,5482.85,6151.18,11171.4,9225.19,4419.86,2982.38,6267.08,1616.43,5446.38,3331.45,4658.59,10477.7,10287.3,5399.52
EXOSC10,ENSG00000149541,4051.71,3076.65,9607.94,2306.91,7000.08,2343.77,6445.91,4691.25,2644.25,3169.62,2234.87,3013.75,2105.35,3743.98,4752.39,3829.93,2514.23
B3GAT3,ENSG00000109083,555.244,315.852,277.266,739.997,453.311,862.523,1503.94,197.064,731.945,1177.07,147.558,830.898,494.989,1503.24,900.815,1811.43,525.777
IFT20,ENSG00000077097,158.248,51.5758,58.3044,111.812,289.69,487.443,98.9942,503.994,94.4092,154.912,82.9343,169.363,778.988,503.212,382.186,208.283,627.549
TOP2B,ENSG00000131747,5862.52,9105.85,8996.88,9934.87,21650.6,9797.13,11638.6,5951.52,7750.26,7897.51,3774.01,9347.46,4289.46,4496.62,9929.23,12056.1,2678.67
TOP2A,ENSG00000100614,5250.9,5129.42,10865.7,5927.03,19316,23208.8,5100.62,3739.82,2149.1,3546.57,4726.98,4110.64,2475.12,3518.16,4147.79,4852.78,2372.94
PPM1A,ENSG00000138032,1967.62,1378.71,1024.88,564.439,2615.44,931.274,514.739,2101.65,2243.99,954.653,761.819,174.008,1286.75,1684.25,4760.69,577.52,3921.26
PPM1B,ENSG00000092203,2756.54,1577.8,2301.06,684.317,622.242,1131.99,826.208,1886.88,2639.7,870.438,1107.33,320.983,518.062,2944.72,2465.58,421.308,2246.29
TOX4,ENSG00000147459,1496.17,728.141,1654.66,670.443,710.149,3889.99,1523.61,1837.04,829.824,2153.12,612.019,423.195,1819.69,2522.1,1686.52,2030.58,2204.38
DOCK5,ENSG00000150760,2478.37,500.078,1572.64,399.15,648.745,117.62,431.013,2545.71,1466.28,233.803,1062.09,78.0924,3633.99,2225.96,475.005,97.7235,548.077
DOCK1,ENSG00000072274,1189.06,487.848,2380.83,48.2391,2429.58,985.59,1099.11,1009.87,2604.31,444.371,826.675,84.3593,1061.65,650.938,2572.51,723.78,546.834
TFRC,ENSG00000091483,9127.62,9185.15,10800,10454.1,18402.7,15789.9,9644.41,2998.78,3696.36,4344.4,4322.03,1596.1,12234.9,10679.1,5279.06,8711.71,1406.62
FH,ENSG00000137076,10276.5,8430.92,5856.82,11114.7,8771.89,11288.9,4938.68,4645.78,5016.41,10311.6,3247.88,12515.7,5753.38,11690.4,7037.56,5811.83,7303.12
TLN1,ENSG00000171914,20811.3,12088.8,32972.2,10984.6,9506.7,17523.1,9207.05,13236.3,26314.7,6705.11,7333.54,5096.03,12639.1,13226.7,17632.7,6729.84,11609.3
TLN2,ENSG00000138162,5868.07,6658.81,9884.85,4550.45,3410.35,4160.17,32990.2,5326.48,4952.84,2311.62,5535.23,934.262,5315.79,18879,7965.06,6766.03,3074.29
TACC2,ENSG00000147526,3143.16,929.936,2787.45,1017.87,1992.74,424.04,984.145,1718.07,680.166,1541.86,1744.91,299.3,920.435,671.043,1773.52,637.493,1797.4
TACC1,ENSG00000130147,2274.84,1045.6,2537,2775.41,1282.96,1075.51,1942.11,2484.14,2488.02,2153.48,1309.63,395.497,1950.12,2458.82,1715.46,1492.22,4576.8
SH3BP4,ENSG00000129933,2458.41,1896.71,776.887,937.485,2380.24,1054.25,1107.1,1004.37,3456.64,3950.25,1456.91,482.617,2367.74,3238.74,254.949,2951.89,145.963
MAU2,ENSG00000163453,145.622,301.62,424.111,628.331,792.629,149.944,625.674,839.569,345.593,431.438,285.194,196.327,695.1,203.276,491.845,95.9821,135.042
IGFBP7,ENSG00000130305,748.592,326.71,252.321,1960.48,142.08,532.267,1.66937,479.405,1379.22,133.232,1531.4,45.9873,709.665,379.415,108.554,7090.04,103.455
NSUN5,ENSG00000145439,2031.9,1140.26,2690.2,1610.52,900.231,667.175,2913.81,1159.28,489.009,416.357,970.947,1808.78,588.294,1393.37,1454.66,1339.34,858.595
CBR4,ENSG00000044115,474.078,99.2802,509.936,386.831,1216.53,309.335,740.926,910.148,399.36,3578.22,296.72,413.676,2022.34,444.556,322.104,916.259,374.155
CTNNA1,ENSG00000066032,12834,6767.67,8088.09,9490.77,14901.5,3679.03,2411.57,7400.3,7101,12006.5,2294.42,4862.63,14456.4,12539.7,2018.98,8755.4,3889.75
CTNNA2,ENSG00000142634,1437.8,1216.22,1229.92,1429.81,1839.26,839.944,311.305,1379.24,1045.11,3180.2,482.155,1257.61,3254.56,1807.04,196.605,698.83,817.785
EFHD2,ENSG00000135766,2563.36,8947.76,6581.48,2394.21,2180.26,1131.2,1243.67,5246.26,1358.79,1359.7,1340.48,1293.11,832.898,2240.36,2571.12,1476.95,2171.5
EGLN1,ENSG00000174547,2116.39,709.437,1674.51,742.525,1793.2,1227.24,624.903,2736.56,755.229,438.581,559.26,141.562,318.554,664.579,3664.08,604.967,3552.16
MRPL11,ENSG00000143093,1142.54,2522.75,2893.85,2594.08,1763.91,2386.6,2008.45,2306.1,1937.32,4289.72,1680.29,2346.96,2129.43,2052.97,2354.32,2732.69,1836.13
STRIP1,ENSG00000101457,892.509,405.618,2215.6,577.041,1533.48,545.125,578.789,2111.44,1464.56,896.468,847.74,217.48,2096.16,1975.54,1495.42,998.517,374.893
DNTTIP1,ENSG00000170653,2126.29,1198.82,1068.17,872.903,915.135,1407.32,674.74,923.562,992.373,3371.12,570.182,970.189,913.974,1563,1197.48,1342.27,729.093
ATF7,ENSG00000115966,381.332,532.851,613.055,155.508,613.694,841.54,1067.57,790.56,337.243,329.095,680.793,262.995,230.238,401.433,1100.93,208.753,837.517
ATF2,ENSG00000173442,1323.41,760.32,529.271,633.271,542.855,1770.13,2851.38,795.39,587.89,677.699,636.329,172.816,263.34,577.595,2579.45,2896.44,1701.6
EHBP1L1,ENSG00000115504,2322.87,1261.67,826.846,643.601,2690.18,310.69,899.755,2271.12,3405.78,3779.66,836.499,838.44,3691.17,1837.14,2235.07,435.569,3085.96
EHBP1,ENSG00000076108,2493.04,1999.2,2309.5,940.401,1101.57,1136.3,1731.19,1590.04,1440.94,442.479,895.894,809.833,1162.17,2557.77,2657.06,897.238,1880.59
BAZ2A,ENSG00000117713,1194.68,1336.44,2036.43,1450.08,4766.09,1663.16,3962.47,1032.11,1273.36,1863.2,1422.74,3377.33,1195.4,991.56,2419.04,2221.38,564.589
ARID1A,ENSG00000049618,3797.8,2035.18,1861.25,1608.4,4523.84,7919.67,732.523,2961.35,3462.49,6240.87,393.084,2238.9,3120.13,4285.83,1268.3,9238.72,3309.78
ARID1B,ENSG00000163820,1135.33,2127.93,775.264,1780.84,3053.01,3039.63,2902.2,2816.62,2406.8,3354.43,1309.9,2009.16,2173.96,2954.23,618.279,5377,1418.4
FYCO1,ENSG00000104812,1968.9,1695.18,2381.56,1248.51,4062.29,1518.15,2047.65,3767.07,3555.94,5920.19,1884.89,648.557,3389.58,1580.05,5699.06,1365.28,2307.93
GYS1,ENSG00000119421,547.549,542.423,914.794,2445.93,831.112,87.752,946.393,1236.09,589.635,576.087,518.292,93.4936,13153.3,988.939,1095.26,241.931,252.671
NDUFA8,ENSG00000111335,1207.59,890.162,1419.63,1771.43,1040.74,2524.33,2164.95,1363.18,538.241,1195.49,534.026,1406.5,1118.49,1749.74,1254.25,1425.89,1524.08
OAS2,ENSG00000141027,515.759,4920.78,9970.16,221.127,77.7833,93.5269,47.9865,289.612,142.882,85.9548,12286,311.874,228.464,225.998,368.489,75.5505,138.484
NCOR1,ENSG00000106617,1758.39,1630.61,1978.54,1537.64,4680.4,4125.76,6510.06,5485.02,3549.1,8617.78,2512.53,2977.5,1775.27,3558.5,4643.76,5780.44,4411.35
PRKAG2,ENSG00000181929,515.347,609.482,1528.39,170.838,796.321,80.0993,252.105,519.881,473.863,274.116,357.586,60.0391,685.113,738.911,194.591,63.6903,241.304
PRKAG1,ENSG00000179271,965.724,419.211,931.446,435.267,653.119,474.336,398.182,1029.15,1233.49,474.92,171.318,52.3636,633.894,1621.49,604.311,302.79,621.886
GADD45GIP1,ENSG00000132153,687.128,922.71,1453.34,921.239,255.681,730.584,729.67,1809.07,733.684,1719.95,449.068,1569.25,621.891,879.746,493.503,611.463,707.89
DHX30,ENSG00000090054,4975.54,4845.99,8247.48,3308.01,6695,2423.58,3747.17,3529.09,2560.17,4278.45,2015.48,2506.22,3064.04,2008.17,5209.98,6009.49,1577.61
SPTLC1,ENSG00000175216,2171.65,1774.97,2618.84,1071.24,3691.15,1392.04,2953.26,2106.99,754.934,690.928,808.757,507.051,2260.28,827.249,1572.53,1562.27,652.584
CKAP5,ENSG00000168538,10080,8881.53,21398.8,5034.89,5565.29,4976.18,5584.08,6418.54,7394.8,4448.35,4548.51,1795.02,7446.64,10491.6,9696.83,2553.7,4263.75
TRAPPC11,ENSG00000111271,500.852,618.524,878.406,445.107,643.041,54.726,120.126,1503.98,985.744,397.908,239.451,46.9618,909.738,614.9,772.087,435.402,199.092
ACAD10,ENSG00000111275,196.99,505.196,953.289,582.966,906.172,458.314,380.761,3509.27,1795.51,1612.29,513.504,2157.81,1730.46,665.092,713.539,2185.91,490.272
ALDH2,ENSG00000137124,4072.83,2465.48,2286.19,4550.69,2258.03,5003.33,5218.91,1173.21,1617.11,2692.75,5085,8848.59,898.802,19987.5,2655.21,4607.9,2476.11
ALDH1B1,ENSG00000128918,3583.4,1296.13,3206.46,5621.67,2988.47,1604.76,4612.97,1803.28,2805.51,2752.33,2155.19,3684.56,2606.61,3202.01,2556.57,2510,2913.81
ALDH1A2,ENSG00000165092,730.987,1231.47,477.688,656.39,1533.66,1306.88,1390.6,77.5987,170.339,326.801,955.3,790.513,528.162,1254.11,1986.22,1630.65,387.528
ALDH1A1,ENSG00000183963,1636.05,1574.54,703.119,1930.75,283.782,8297.16,6103.26,323.288,568.006,1015.94,63.6431,92.246,1033.09,34848.6,746.363,117.841,140.433
SMTN,ENSG00000184254,1370.17,704.962,6387.78,227.402,620.108,616.894,333.677,4488.82,101.954,170.931,277.979,181.818,966.126,232.612,540.909,359.993,1610.88
ALDH1A3,ENSG00000136319,1480.51,4989.94,1836.14,421.73,230.11,553.752,184.054,1434.87,1137.26,55.2705,438.187,321.672,1030.43,395.995,94.2558,57.3897,797.452
TTC5,ENSG00000126653,354.785,240.755,388.489,99.902,420.201,227.881,179.724,2059.89,424.958,393.561,207.598,79.2143,488.588,532.467,198.274,252.87,763.9
NSRP1,ENSG00000168439,882.729,631.68,2609.91,1296.59,1979.3,2252.21,3078.14,1135.45,355.151,1266.3,616.926,812.15,570.42,769.922,4368.33,3162.11,1156.88
STIP1,ENSG00000100380,15449.1,22691.6,24926.2,11649,17027.1,20151.1,13907.4,17919,9437.31,8032.74,6233.06,3216.47,8309.87,14438.5,28361,7953.58,32142.9
ST13,ENSG00000165699,17474.7,3539.17,6643.27,5358.98,3988.05,5507.48,7948.35,6487.11,3240.61,1612.93,1709.46,884.781,5060.61,3338.25,14498.7,2503.83,9527.39
TSC1,ENSG00000112992,438.425,453.484,396.704,58.0493,282.094,115.768,998.389,1188.31,1299.64,567.936,335.701,44.8542,1072.59,714.812,1887.71,493.178,1307.47
NNT,ENSG00000035928,13480,8957.73,3576.95,6248.23,12663.4,4281.36,1416.91,4344.33,3362.36,4120.35,5912.58,14477.4,8073.77,5671.09,3466.59,11429,2477.23
RFC1,ENSG00000144224,2576.73,3426.75,3747.8,2192.22,3788.48,1749.82,6860.76,2928.93,1341.61,2591.19,2324.74,1920.71,2278.91,1734.61,5710.1,4483.9,1924.79
UBXN4,ENSG00000151150,2987.26,873.512,1563.3,1501.96,3202.25,1070.28,1715.9,1078.57,1480.25,2474.23,799.126,624.698,3190.75,3147.82,2584.48,2483.63,2119.36
ANK3,ENSG00000029534,3870.92,1476.77,6324.56,4844.51,5635.73,7343.11,2014.21,3823.57,1772.86,5282.97,1589.23,2384.22,1636.49,4547.03,9470.8,2930.41,447.46
ANK1,ENSG00000145362,1405.54,198.533,2857.37,71.9388,23.9043,48.8046,1129.4,429.031,1202.42,510.117,651.58,4.34389,766.167,63.9688,169.78,55.4727,15.7353
ANK2,ENSG00000141385,745.629,54.7125,2106.54,316.075,322.445,2513.48,1816.12,1369.74,166.744,1939.54,910.304,247.243,583.157,247.318,651.087,635.082,272.013
AFG3L2,ENSG00000058453,6335.48,3034.27,7022.92,5726.15,13041.1,8284.77,11352.7,4193.03,3901.83,8146.76,2810.46,5509.19,6650.57,6978.05,7122.72,10776.6,4140.4
CROCC,ENSG00000126001,1046.43,479.625,2400.04,261.617,1705.53,984.082,1836.42,2248.28,1555.75,1455.69,1235.81,1296.62,1009.91,1008.72,5578.43,5253.27,3328.36
CEP250,ENSG00000092820,1765.73,407.29,1440.28,69.9294,1153.44,1315.07,2010.92,2598.89,1842.8,1535.69,1591.41,1162.36,1451.5,655.745,1679.25,555.401,826.421
EZR,ENSG00000100014,44104.1,22541.9,17584.6,13063.1,19990.6,12603.8,15001.9,15422.3,8746.3,8693.99,5648.44,3161.42,5091.63,17003.8,4614.64,8041.55,31661.4
SPECC1L,ENSG00000137710,8027.69,2257.59,2927.73,2435.27,3966.08,4799.99,5577.2,2326.3,4229.08,7591.2,2319.23,2397.13,4362.21,5762.25,3100.28,3367.97,6302.14
RDX,ENSG00000128641,3773.62,3792.66,9355.64,3976.7,13244.2,6157.52,5918.67,6144.05,6118.12,2721.37,3074.42,2346.83,5369.48,12091.6,5372.14,4436.37,5942.26
MYO1B,ENSG00000105357,3929.71,13240.4,1775.03,4979.48,3372.35,1811.75,2940.81,7532.31,2348.71,1638.17,3136.61,302.35,8194.78,7684.46,1181.3,4514.97,1566.82
MYH14,ENSG00000176658,29297.2,3139.85,4400.41,21842.8,48013.3,2358.73,1754.43,1607.3,7026.39,2839.15,1197.57,576.154,28444.8,1145.68,4776.46,1887.62,740.098
MYO1D,ENSG00000137497,1934.2,1090.43,997.03,3019.83,2009.09,1469.51,1670.43,401.055,2403.57,1005.91,543.493,723.062,2170.09,4156.03,405.697,1427.33,569.352
NUMA1,ENSG00000157483,25536.4,26208.8,20954.7,10141,22993.7,39466,25189.9,8825.46,10740.3,26032.6,4719.26,17890.4,9194.31,9245.19,18668.7,34866.1,16835.6
MYO1E,ENSG00000104907,2631.02,2962.56,2819.69,870.365,965.154,1109.44,1335.45,4905.83,1724.53,614.201,1945.31,115.117,5514.8,1597.83,505.182,538.437,1860.73
TRMT1,ENSG00000144674,1330.7,526.254,1709.75,2075.9,2803.33,388.37,1333.96,1430.99,862.107,532.828,706.402,530.888,711.697,825.153,2829.92,1031.09,697.618
GOLGA4,ENSG00000133026,7997.84,5624,8036.91,10441.6,7102.69,4822.99,13901.5,5590.31,13085.5,12341.9,7879.47,3521.53,9947.56,13493.9,8154.83,6350.42,13090.6
MYH10,ENSG00000100345,22532.6,18735.3,14676.3,19341.7,27465.3,16127.2,23639.6,13052.7,11859.5,5957.94,8137.33,6176.38,14409.4,15514.7,34486.2,26588.8,11011.5
MYH9,ENSG00000133392,53925.7,39573.1,59264.5,41241.8,23520.5,13775.7,14088.4,22275.1,49598.8,7706.46,18726,5047.74,28777.1,18560.8,19819.4,10424.1,14735.3
MYH11,ENSG00000147065,4315.18,2310.03,2429.97,1414.76,2763.2,813.63,1309.2,754.216,1932.29,241.97,758.846,367.832,709.849,506.143,1701.72,828.525,1125.78
MSN,ENSG00000104435,13135.5,9698.92,32489.7,8816.19,10422.3,10052.9,6351.95,17256.2,6945.23,1635.29,2389.9,2994.56,2246.55,4422.56,4280.74,5984.01,4547.72
STMN2,ENSG00000117632,1035.53,181.534,2161.53,157.332,228.695,546.022,384.727,1159.92,241.903,100.198,176.87,64.2601,487.76,246.382,963.864,283.433,2018.02
STMN1,ENSG00000164164,2542.3,2922.78,3300.05,967.906,711.119,2520.46,2261.73,5968.94,1553.84,539.702,920.893,719.534,1268.32,1256.54,3283.59,826.217,9267.31
OTUD4,ENSG00000070367,291.107,788.46,919.976,472.194,2901.86,456.218,788.007,2161.67,1871.24,2225.72,1361.43,395.529,1124.49,780.495,4773.09,1179.25,2494.49
EXOC5,ENSG00000183010,1856.99,922.033,2304.3,1471.85,2459.27,1364.96,1215.18,2708.79,2552.48,1013.09,1297.73,568.684,4410.54,2198.32,1313.42,872.767,1136.48
PYCR1,ENSG00000143811,4388.38,2823.19,2767.82,4327.75,2205.47,3502.19,4923.53,881.79,3766.35,5477.72,2177.01,1619.85,912.035,6696.53,308.057,1929.22,2677.06
PYCR2,ENSG00000141867,3692.19,4585.19,5035.79,2465.16,3104.6,3398.21,4770.16,2102.25,1590.91,2429.6,1372.53,2061.32,1206.11,1950.66,1046.28,2875.68,2391.57
BRD4,ENSG00000169925,4987.69,3282.11,4035.45,3202.47,7608.99,7546.17,5502.9,2808.39,1494.59,2788.92,1658.56,5273.01,1678.59,1273.52,6272.7,6450.19,4067.87
BRD3,ENSG00000050820,1146.44,678.484,1092.2,442.065,1540.34,3626.29,2291.37,1825.35,1180.35,2470.07,364.306,541.71,1324.64,1448.42,3408.18,4651.75,1243.75
BCAR1,ENSG00000142186,1864.15,1253.41,6685.66,397.814,1614.41,958.638,762.728,2667.01,2684.42,804.643,772.788,140.562,1040.01,1407.43,849.354,799.433,985.124
